geo_id,county_name,children_under_2,children_2_to_5,children_total_under_5,pct_non_english_home,pct_all_parents_work,pct_parents_nontraditional_hours,pct_remote_work,pct_eligible_subsidy,median_household_income,poverty_level_ratio,pct_hispanic,pct_white_non_hispanic,pct_black,pct_asian,pct_other_race,data_year
240276011031,Block Group 1; Census Tract 6011.03; Howard County; Maryland,124,152,276,0.0,0.5609756097560976,0.09699545157094501,0.0939084928631967,0.027422522195452,95811.26829268293,0.0,0.023247466913099448,0.315880887157992,0.05048021386844451,0.14223654246014722,0.029130499356414406,2022
240276011032,Block Group 2; Census Tract 6011.03; Howard County; Maryland,41,51,92,0.0,0.18699186991869918,0.032331817190315,0.0313028309543989,0.009140840731817331,31937.089430894306,0.0,0.007749155637699815,0.10529362905266398,0.016826737956148165,0.04741218082004907,0.009710166452138133,2022
240276011033,Block Group 3; Census Tract 6011.03; Howard County; Maryland,56,68,124,0.0,0.25203252032520324,0.043577666647815864,0.042190772155928945,0.012320263595058143,43045.64227642276,0.0,0.01044451412037801,0.14191750002750364,0.022679516375677965,0.06390337414876178,0.013087615652881832,2022
240276011041,Block Group 1; Census Tract 6011.04; Howard County; Maryland,86,105,191,0.0,0.809322033898305,0.08637903420940442,0.1737039282579384,0.041344526478451764,161724.3940677966,0.0,0.0357226078638181,0.5104233608869484,0.06219247467438495,0.13843974588535407,0.06254384458779955,2022
240276011042,Block Group 2; Census Tract 6011.04; Howard County; Maryland,20,25,45,0.0,0.1906779661016949,0.020351081358236642,0.04092500927543051,0.009740857023719003,38102.60593220339,0.0,0.00841632122445976,0.12025681277441191,0.014652677279305354,0.032616694056758815,0.014735460766759056,2022
240276011051,Block Group 1; Census Tract 6011.05; Howard County; Maryland,126,153,279,0.0,0.8913738019169329,0.10747840492249437,0.20937180611776826,0.06347964062868539,135749.09904153354,0.0,0.034887752217487085,0.5004987012432862,0.12185911556534586,0.1502984206905012,0.08382981220031256,2022
240276011052,Block Group 2; Census Tract 6011.05; Howard County; Maryland,15,19,34,0.0,0.10862619808306709,0.013097726764748418,0.025514843756287167,0.00773587018414087,16542.900958466453,0.0,0.0042515540336722606,0.06099267326979115,0.014850214800077989,0.018315936571602295,0.010215819407923394,2022
240276011071,Block Group 1; Census Tract 6011.07; Howard County; Maryland,125,153,278,0.0,0.7808988764044944,0.1992638512204572,0.11776366657344499,0.23394344695945266,66291.28651685393,0.0,0.309838129688317,0.2195119348677401,0.07237961095638999,0.1368983215425163,0.04227087934953103,2022
240276011072,Block Group 2; Census Tract 6011.07; Howard County; Maryland,35,43,78,0.0,0.21910112359550563,0.055908562572646266,0.03304160429039104,0.06563880885912701,18599.713483146068,0.0,0.08693300041614649,0.06158967956720766,0.02030794839783604,0.03841032043279235,0.011860174781523097,2022
240276011081,Block Group 1; Census Tract 6011.08; Howard County; Maryland,38,47,85,0.0,0.5666666666666667,0.052278521351179094,0.08672064777327934,0.07976626548055119,77119.93333333333,0.0,0.08480725623582766,0.26924821210535493,0.08199023199023199,0.11119832548403977,0.01942264085121228,2022
240276011082,Block Group 2; Census Tract 6011.08; Howard County; Maryland,29,36,65,0.0,0.43333333333333335,0.039977692797960485,0.06631578947368422,0.06099773242630385,58974.066666666666,0.0,0.06485260770975057,0.20589569160997734,0.06269841269841271,0.08503401360544219,0.014852607709750568,2022
240276012031,Block Group 1; Census Tract 6012.03; Howard County; Maryland,376,460,836,0.0,0.774074074074074,0.09733044733044732,0.1489100781353463,0.17646214922059472,96937.29629629629,0.0,0.05072876488470735,0.14214099467695226,0.3964545057656337,0.158297185473567,0.026452623273213734,2022
240276012032,Block Group 2; Census Tract 6012.03; Howard County; Maryland,110,134,244,0.0,0.22592592592592592,0.02840745113472386,0.043461793139981456,0.05150330671031712,28292.703703703704,0.0,0.014806003148168174,0.04148612763298607,0.1157116021612615,0.04620157087984491,0.007720622103665253,2022
240276012041,Block Group 1; Census Tract 6012.04; Howard County; Maryland,99,122,221,0.0,0.5212264150943396,0.07746898481806133,0.1108518556668712,0.06869935044849985,70839.8820754717,0.0,0.0349990720692855,0.19440890813485928,0.13227188369935047,0.12037766780080422,0.03916888339004021,2022
